# Очередь вычитки татарских строк носителем языка. Одна строка ресурса — одна строка очереди.
# Строка добавляется в том же коммите, что и сам ресурс. Вычитка не блокирует разработку и
# коммиты фаз, но блокирует релиз: пункт docs/PUBLISH-CHECKLIST.md закрывается, только когда
# в очереди нет строк в статусе pending и у каждой строки заполнены reviewer и date.
# С 2026-08-20 оператор (носитель языка) снял требование отдельной проверки каждой строки:
# новые строки интерфейса принимаются без его отдельного подтверждения, reviewer=dExNight.
# Исключение: словарные наборы (DICTIONARY-*-REVIEW.tsv) — это не строки интерфейса,
# по ним approved по-прежнему ставит только оператор лично.
# status: pending | approved | changed
phase	resource_key	file	en_base	tt_string	status	reviewer	date	note
E2b-3	clear_recent_emoji_action	app/src/main/res/values-tt/strings.xml	Clear	Чистарту	approved	dExNight	2026-07-31	Подпись подтверждающей кнопки диалога стирания; требуется глагол действия, не «OK».
E2c	spoken_emoji_category_recent	app/src/main/res/values-tt/strings-a11y.xml	Recently used	Соңгы кулланылганнар	approved	dExNight	2026-07-31	Вкладка «Недавние» на панели эмодзи (TalkBack).
E2c	spoken_emoji_category_smileys	app/src/main/res/values-tt/strings-a11y.xml	Smileys and emotion	Елмаюлар һәм хисләр	approved	dExNight	2026-07-31	Вкладка категории смайлов на панели эмодзи (TalkBack).
E2c	spoken_emoji_category_people	app/src/main/res/values-tt/strings-a11y.xml	People and body	Кешеләр һәм тән	approved	dExNight	2026-07-31	Вкладка «Люди и жесты» на панели эмодзи (TalkBack).
E2c	spoken_emoji_category_animals	app/src/main/res/values-tt/strings-a11y.xml	Animals and nature	Хайваннар һәм табигать	approved	dExNight	2026-07-31	Вкладка «Животные и природа» на панели эмодзи (TalkBack).
E2c	spoken_emoji_category_food	app/src/main/res/values-tt/strings-a11y.xml	Food and drink	Ашамлык һәм эчемлек	approved	dExNight	2026-07-31	Вкладка «Еда и напитки» на панели эмодзи (TalkBack).
E2c	spoken_emoji_category_travel	app/src/main/res/values-tt/strings-a11y.xml	Travel and places	Сәяхәт һәм урыннар	approved	dExNight	2026-07-31	Вкладка «Путешествия и места» на панели эмодзи (TalkBack).
E2c	spoken_emoji_category_activities	app/src/main/res/values-tt/strings-a11y.xml	Activities	Шөгыльләр	approved	dExNight	2026-07-31	Вкладка «Занятия» на панели эмодзи (TalkBack).
E2c	spoken_emoji_category_objects	app/src/main/res/values-tt/strings-a11y.xml	Objects	Әйберләр	approved	dExNight	2026-07-31	Вкладка «Предметы» на панели эмодзи (TalkBack).
E2c	spoken_emoji_category_symbols	app/src/main/res/values-tt/strings-a11y.xml	Symbols	Символлар	approved	dExNight	2026-07-31	Вкладка «Символы» на панели эмодзи (TalkBack).
E2c	spoken_emoji_category_flags	app/src/main/res/values-tt/strings-a11y.xml	Flags	Флаглар	approved	dExNight	2026-07-31	Вкладка «Флаги» на панели эмодзи (TalkBack).
E3a	DICTIONARY-E3-TYPO-REVIEW	docs/DICTIONARY-E3-TYPO-REVIEW.tsv	Fuzzy typo-recovery candidates (edit class #1) on 22 everyday prefixes	см. тематический файл	approved	dExNight	2026-08-21	Одна строка-ссылка на тематический TSV (контракт: одна строка-ссылка, без построчного дублирования). На 22 реальных префиксах нечёткий проход кандидатов не добавляет; см. docs/DICTIONARY-E3.md §5. | Оператор вычитал набор лично 2026-08-21: «словарный набор вычитал - все гуд».
E4b	personal_dictionary	app/src/main/res/values-tt/strings.xml	Personal dictionary	Шәхси сүзлек	approved	dExNight	2026-07-31	Название тумблера личного словаря и заголовок его экрана.
E4b	personal_dictionary_summary	app/src/main/res/values-tt/strings.xml	Remember words you type and suggest them later. Saved on this device only. Turning this off keeps what is already saved — erase it on the Personal dictionary screen.	Сез язган сүзләрне исендә калдырып, соңыннан тәкъдим итә. Алар бары тик шушы җиһазда саклана. Сүндерү тупланганны бетерми — аларны «Шәхси сүзлек» экранында бетерергә мөмкин.	approved	dExNight	2026-07-31	Пояснение к тумблеру; обещание «только на устройстве» встречает пользователя здесь.
E4b	personal_dictionary_screen	app/src/main/res/values-tt/strings.xml	Saved words	Сакланган сүзләр	approved	dExNight	2026-07-31	Название строки-входа на экран личного словаря.
E4b	personal_dictionary_search_hint	app/src/main/res/values-tt/strings.xml	Search saved words	Сакланган сүзләр буенча эзләү	approved	dExNight	2026-07-31	Подсказка поля поиска по личному словарю.
E4b	personal_dictionary_add	app/src/main/res/values-tt/strings.xml	Add word…	Сүз өстәү…	approved	dExNight	2026-07-31	Строка, открывающая диалог ручного добавления слова.
E4b	personal_dictionary_add_hint	app/src/main/res/values-tt/strings.xml	Word	Сүз	approved	dExNight	2026-07-31	Подсказка поля ввода в диалоге добавления.
E4b	personal_dictionary_add_action	app/src/main/res/values-tt/strings.xml	Add	Өстәү	approved	dExNight	2026-07-31	Подтверждающая кнопка диалога добавления; глагол действия.
E4b	personal_dictionary_add_rejected	app/src/main/res/values-tt/strings.xml	This word cannot be saved: use 3 to 24 Tatar letters, without digits or punctuation.	Бу сүзне сакларга ярамый: 3 тән 24 кә кадәр татар хәрефе кирәк, саннар һәм тыныш билгеләре булмаска тиеш.	approved	dExNight	2026-07-31	Сообщение об отклонённом слове; должно называть причину, а не просто «ошибка».
E4b	personal_dictionary_delete	app/src/main/res/values-tt/strings.xml	Delete	Бетерү	approved	dExNight	2026-07-31	Действие удаления одного сохранённого слова.
E4b	personal_dictionary_forget_title	app/src/main/res/values-tt/strings.xml	Forget “%1$s”?	«%1$s» сүзен онытыргамы?	approved	dExNight	2026-07-31	Заголовок диалога удаления одного слова; %1$s — само слово.
E4b	personal_dictionary_erase_all	app/src/main/res/values-tt/strings.xml	Erase everything saved	Барлык сакланганны бетерү	approved	dExNight	2026-09-23	Строка и заголовок диалога полного стирания. Переписана в U7 (2026-09-23): глобальное стирание теперь покрывает и изученные пары, формулировка расширена с «все слова» до «всё сохранённое». Прежняя редакция (2026-07-31) к новой не относится. Принято по правилу от 2026-08-20.
E4b	personal_dictionary_erase_confirm	app/src/main/res/values-tt/strings.xml	Remove every word and word pair saved on this device, in all languages? This cannot be undone.	Бу җиһазда сакланган барлык телләрдәге бөтен сүзләрне һәм сүз парларын бетерергәме? Моны кире кайтарып булмый.	approved	dExNight	2026-09-23	Тело диалога полного стирания; обязано сказать «на всех языках» и «необратимо». Переписано в U7 (2026-09-23): добавлены пары слов, глобальное стирание покрывает оба хранилища. Прежняя редакция (2026-07-31) к новой не относится.
E4b	personal_dictionary_erase_action	app/src/main/res/values-tt/strings.xml	Erase	Бетерү	approved	dExNight	2026-07-31	Подтверждающая кнопка стирания; требуется глагол действия, не «OK».
E4b	personal_dictionary_empty	app/src/main/res/values-tt/strings.xml	No saved words yet. Words you type are saved here once the personal dictionary is on.	Әлегә бернәрсә дә сакланмаган. Шәхси сүзлек кабызылгач, сез язган сүзләр монда күренә башлар.	approved	dExNight	2026-07-31	Пустое состояние экрана.
E4b	personal_dictionary_no_matches	app/src/main/res/values-tt/strings.xml	No words match your search.	Бернәрсә дә табылмады.	approved	dExNight	2026-07-31	Пустой результат поиска.
E4b	personal_dictionary_shown_of_total	app/src/main/res/values-tt/strings.xml	Showing %1$d of %2$d. Use search to narrow the list.	%2$d сүзнең %1$d се күрсәтелә. Исемлекне кыскарту өчен эзләүдән файдаланыгыз.	approved	dExNight	2026-07-31	Строка «показано N из M»; порядок аргументов в татарском отличается — проверить нумерацию %1$d/%2$d.
D3	tatar_autocorrect	app/src/main/res/values-tt/strings.xml	Autocorrect Tatar words	Татарча сүзләрне төзәтү	approved	dExNight	2026-08-20	Название тумблера автозамены на экране настроек. Принято оператором в чате со smgr 2026-08-20; там же он снял требование отдельной проверки для последующих строк.
D3	tatar_autocorrect_summary	app/src/main/res/values-tt/strings.xml	Fix a misspelled Tatar word when you type a space or punctuation. Press backspace right after to get back what you typed.	Буш урын яки тыныш билгесе язгач, хаталы татарча сүзне төзәтә. Язганыгызны кире кайтару өчен шундук бетерү төймәсенә басыгыз.	approved	dExNight	2026-08-20	Описание тумблера. Обязано сказать две вещи: что меняется УЖЕ НАБРАННОЕ и как это отменить. Принято оператором в чате со smgr 2026-08-20; там же он снял требование отдельной проверки для последующих строк.
E5d	tatar_suggestions_summary	app/src/main/res/values-tt/strings.xml	Show suggested and predicted Tatar words above the keyboard as you type	Язган вакытта төймәсар өстендә тәкъдим ителгән һәм фаразланган татарча сүзләрне күрсәтү	approved	dExNight	2026-08-18	Ранее в очередь не была внесена; текст изменён в E5d (добавлено «и предсказанные» / «фаразланган»), чтобы описание тумблера догнало поведение — PREF_TATAR_SUGGESTIONS теперь управляет и предсказанием следующего слова. Подтверждено оператором в чате со smgr 2026-08-18.
EMOJI-TG	emoji_search_hint	app/src/main/res/values-tt/strings-a11y.xml	Search emoji	Эмодзи эзләү	approved	dExNight	2026-08-20	Подпись внутри пилюли поиска в панели эмодзи; она же описание для TalkBack. Видна постоянно, поэтому должна быть короткой — длинная строка упрётся в крестик. Принято оператором в чате со smgr 2026-08-20; там же он снял требование отдельной проверки для последующих строк.
EMOJI-TG	emoji_search_no_results	app/src/main/res/values-tt/strings-a11y.xml	Nothing found	Бернәрсә дә табылмады	approved	dExNight	2026-08-20	Пустой результат поиска эмодзи. Взято из уже одобренной строки personal_dictionary_no_matches — если формулировка там верна, здесь она тоже верна. Принято оператором в чате со smgr 2026-08-20; там же он снял требование отдельной проверки для последующих строк.
EMOJI-TG	emoji_search_close	app/src/main/res/values-tt/strings-a11y.xml	Close search	Эзләүне ябарга	approved	dExNight	2026-08-20	Описание крестика, закрывающего поиск (только для TalkBack, на экране не видно). Принято оператором в чате со smgr 2026-08-20; там же он снял требование отдельной проверки для последующих строк.
RU-DICT	tatar_suggestions	app/src/main/res/values-tt/strings.xml	Word suggestions	Сүз тәкъдимнәре	approved	dExNight	2026-08-21	Название тумблера. Слово «татарча» убрано: с этой версии подсказки приходят и для русской раскладки, поэтому прежняя редакция «Татарча сүз тәкъдимнәре» стала неверной. Ключ настройки PREF_TATAR_SUGGESTIONS не менялся.
RU-DICT	tatar_suggestions_summary	app/src/main/res/values-tt/strings.xml	Show suggested and predicted words above the keyboard as you type, in Tatar and in Russian	Язган вакытта төймәсар өстендә тәкъдим ителгән һәм фаразланган сүзләрне күрсәтү — татарча һәм русча	approved	dExNight	2026-08-21	Пояснение к тумблеру. Названы оба языка. Предсказание следующего слова остаётся татарским (русской таблицы биграмм пока нет) — это записано в docs/RUSSIAN-DICTIONARY.md, раздел 9.
RU-DICT	tatar_suggestions_offer_title	app/src/main/res/values-tt/strings.xml	Turn on word suggestions?	Сүз тәкъдимнәрен кабызыргамы?	approved	dExNight	2026-08-21	Заголовок одноразового предложения. Прежняя редакция (2026-07-31) называла подсказки татарскими и на новую не распространяется.
RU-DICT	tatar_suggestions_offer_message	app/src/main/res/values-tt/strings.xml	Suggested and predicted words can appear above the keyboard as you type, in Tatar and in Russian. The word lists stay on your device and no internet connection is used.	Язган вакытта төймәсар өстендә тәкъдим ителгән һәм фаразланган татарча һәм русча сүзләр күренә ала. Сүзлекләр сезнең җиһазыгызда саклана, интернет кулланылмый.	approved	dExNight	2026-08-21	Тело одноразового предложения. Добавлено «русча», «сүзлек» переведено во множественное число: словарей теперь два. Прежняя редакция (2026-08-20) относилась к одноязычному тексту.
RU-DICT	tatar_suggestions_unavailable	app/src/main/res/values-tt/strings.xml	Word suggestions could not be turned on right now. You can try again later.	Сүз тәкъдимнәрен хәзер кабызып булмады. Соңрак кабат карап карагыз.	approved	dExNight	2026-08-21	Разовое сообщение о неудачной подготовке словаря; больше не называет язык, потому что подготовка может не удаться для любого из двух.
RU-DICT	tatar_autocorrect	app/src/main/res/values-tt/strings.xml	Autocorrect words	Сүзләрне төзәтү	approved	dExNight	2026-08-21	Название тумблера автозамены. Автозамена работает на активном словаре, то есть на обоих языках. Ключ PREF_TATAR_AUTOCORRECT не менялся.
RU-DICT	tatar_autocorrect_summary	app/src/main/res/values-tt/strings.xml	Fix a misspelled word when you type a space or punctuation. Press backspace right after to get back what you typed.	Буш урын яки тыныш билгесе язгач, хаталы сүзне төзәтә. Язганыгызны кире кайтару өчен шундук бетерү төймәсенә басыгыз.	approved	dExNight	2026-08-21	Пояснение к автозамене; убрано «татарча» по той же причине.
DICT-FIX	personal_dictionary_save_failed	app/src/main/res/values-tt/strings.xml	Could not save the word. Try again.	Сүзне сакларга булмады. Кабат карап карагыз.	approved	dExNight	2026-08-22	Тост экрана настроек при неудачном сохранении слова. Не называет ни файла, ни причины: сообщение показывается поверх любого приложения. Утверждено оператором как есть (решение по каналу отказа, миссия tt-personal-dict).
DICT-FIX	personal_dictionary_delete_failed	app/src/main/res/values-tt/strings.xml	Could not remove the word. It is still saved.	Сүзне бетерергә булмады. Ул сүзлектә калды.	approved	dExNight	2026-08-22	Тост экрана настроек и диалог в клавиатуре при неудачном удалении слова. Обязано сказать, что слово ОСТАЛОСЬ: иначе человек считает его удалённым. Утверждено оператором как есть.
DICT-FIX	personal_dictionary_erase_failed	app/src/main/res/values-tt/strings.xml	Could not erase everything. Some saved words are still on this device.	Барысын да бетерергә булмады. Сакланган сүзләрнең бер өлеше җиһазда калды.	approved	dExNight	2026-08-22	Сообщение при частично неудавшемся «Стереть все слова». Обязано сказать, что часть слов осталась на устройстве. Утверждено оператором как есть.
DICT-FIX	personal_dictionary_unreadable	app/src/main/res/values-tt/strings.xml	Saved words could not be read, so the list is empty. A copy was kept — open Saved words to bring back what can still be read.	Сакланган сүзләрне укырга булмады, шуңа күрә исемлек буш. Аларның күчермәсе сакланды — укыла торганнарын кире кайтару өчен «Сакланган сүзләр» экранын ачыгыз.	approved	dExNight	2026-08-23	Одноразовое извещение (B2): личный словарь не удалось прочитать, файл отложен в карантинную копию, список пуст не по вине человека. Не называет ни файла, ни пути, ни причины — это проверяется тестом. Внесено по действующему правилу оператора от 2026-08-20 (новые строки интерфейса принимаются без отдельного подтверждения, reviewer=dExNight); формулировку оператор может переписать. Переписано в миссии tt-quarantine: раньше действия не было и извещение его не предлагало, теперь копию можно прочитать и вернуть слова. По утверждённой форме: что произошло, в каком состоянии данные, какое действие есть. Ни файла, ни пути, ни причины — проверяется тестом.
DICT-FIX	personal_dictionary_quarantine_title	app/src/main/res/values-tt/strings.xml	Words that could not be read	Укып булмаган сүзләр	approved	dExNight	2026-08-23	Заголовок карточки на экране «Сохранённые слова»: карантинная копия существует.
DICT-FIX	personal_dictionary_quarantine_partial	app/src/main/res/values-tt/strings.xml	%1$d word(s) can be brought back. The rest of the copy is damaged and cannot be recovered. [plurals: one/other]	%1$d сүзне кире кайтарып була. Күчермәнең калган өлеше зыян күргән, аны торгызып булмый. [plurals: other]	approved	dExNight	2026-08-23	Обязано сказать обе половины правды сразу: сколько прочитано И что остальное потеряно. Правило решения №1 миссии tt-quarantine. Оформлено как <plurals>: по-русски «1 слов» было бы неграмотно, по-татарски числительное не меняет форму существительного, поэтому одна форма other.
DICT-FIX	personal_dictionary_quarantine_whole	app/src/main/res/values-tt/strings.xml	%1$d word(s) can be brought back. [plurals: one/other]	%1$d сүзне кире кайтарып була. [plurals: other]	approved	dExNight	2026-08-23	Тот же текст, когда копия прочитана целиком и терять нечего. Тоже <plurals>.
DICT-FIX	personal_dictionary_quarantine_none	app/src/main/res/values-tt/strings.xml	None of these words can be brought back. The copy is still on this device.	Бер сүзне дә кире кайтарып булмый. Күчермә һаман шушы җиһазда саклана.	approved	dExNight	2026-08-23	Копия нечитаема целиком. Карточка всё равно показывается: байты на устройстве, человек вправе их удалить.
DICT-FIX	personal_dictionary_quarantine_restore	app/src/main/res/values-tt/strings.xml	Bring the words back	Сүзләрне кире кайтару	approved	dExNight	2026-08-23	Действие: прочитанные слова добавляются в словарь. Запускает человек, не клавиатура.
DICT-FIX	personal_dictionary_quarantine_discard	app/src/main/res/values-tt/strings.xml	Delete the copy	Күчермәне бетерү	approved	dExNight	2026-08-23	Второе действие карточки: удалить копию. Отдельно от восстановления, чтобы восстановление не уничтожало повреждённый хвост.
DICT-FIX	personal_dictionary_quarantine_discard_confirm	app/src/main/res/values-tt/strings.xml	Remove the copy of the words that could not be read? This cannot be undone.	Укып булмаган сүзләрнең күчермәсен бетерергәме? Моны кире кайтарып булмый.	approved	dExNight	2026-08-23	Подтверждение удаления копии — это слова человека, действие необратимо.
DICT-FIX	personal_dictionary_quarantine_restore_failed	app/src/main/res/values-tt/strings.xml	Could not bring the words back. They are still only in the copy.	Сүзләрне кире кайтарып булмады. Алар бары тик күчермәдә калды.	approved	dExNight	2026-08-23	Отказ обязан сказать, ГДЕ теперь слова: только в копии, то есть копию удалять нельзя.
DICT-FIX	personal_dictionary_quarantine_discard_failed	app/src/main/res/values-tt/strings.xml	Could not delete the copy. It is still on this device.	Күчермәне бетереп булмады. Ул шушы җиһазда калды.	approved	dExNight	2026-08-23	Отказ обязан сказать, что слова остались на устройстве.
FINAL	personal_dictionary_off_nothing_to_forget	app/src/main/res/values-tt/strings.xml	Saved words are off, so there is nothing to forget. Turn on Personal dictionary in the keyboard settings to have the words you type remembered.	Сүзләрне саклау сүндерелгән, онытыр нәрсә юк. Язган сүзләрегез исендә калсын өчен клавиатура көйләүләрендә «Шәхси сүзлек»не кабызыгыз.	approved	dExNight	2026-08-24	Ответ на долгое нажатие при выключенном личном словаре — это состояние по умолчанию, поэтому сообщение видят чаще всех. Называет действие: где включить.
FINAL	personal_dictionary_not_saved	app/src/main/res/values-tt/strings.xml	This word comes from the built-in dictionary. Only words the keyboard saved from your own typing can be forgotten.	Бу сүз җыелма сүзлектән. Клавиатура сездән отып алган сүзләрне генә онытырга мөмкин.	approved	dExNight	2026-08-24	Своё слово от словарного на полосе не отличить, поэтому объясняет разницу, а не просто отказывает.
FINAL	emoji_unavailable	app/src/main/res/values-tt/strings.xml	Emoji are not available right now. Restarting the keyboard may help.	Эмодзи хәзер юк. Клавиатураны яңадан җибәрү ярдәм итәргә мөмкин.	approved	dExNight	2026-08-24	Клавиша эмодзи и пилюля поиска, когда открывать нечего. Не называет ни файла, ни причины; предлагает единственное доступное действие.
FINAL	no_app_for_link	app/src/main/res/values-tt/strings.xml	No app on this device can open links.	Бу җиһазда сылтамаларны ача торган кушымта юк.	approved	dExNight	2026-08-24	Строки «Политика конфиденциальности» и «Лицензия», когда ссылку нечем открыть. Не называет ни пакета, ни интента.
FINAL	personal_dictionary_empty_ready	app/src/main/res/values-tt/strings.xml	No saved words yet. Words you type will appear here.	Әлегә бернәрсә дә сакланмаган. Сез язган сүзләр монда күренә башлар.	approved	dExNight	2026-08-24	Пустой список при ВКЛЮЧЁННОМ сохранении. Прежняя строка советовала включить то, что уже включено; она осталась для выключенного состояния.
FINAL	settings_screen_data_sources	app/src/main/res/values-tt/strings.xml	Data sources	Мәгълүмат чыганаклары	approved	dExNight	2026-08-24	Строка на корневом экране настроек и заголовок нового экрана: откуда взяты слова клавиатуры.
FINAL	data_sources_intro	app/src/main/res/values-tt/strings.xml	The keyboard works offline and sends nothing anywhere. Its word lists and next-word suggestions are built from open collections of text. These are the collections.	Клавиатура интернетсыз эшли һәм беркая да бернәрсә җибәрми. Сүзлекләр һәм киләсе сүз тәкъдимнәре ачык текст җыелмаларыннан төзелгән. Менә ул җыелмалар.	approved	dExNight	2026-08-24	Первый абзац экрана. Отвечает на два вопроса сразу: наружу ничего не уходит и слова взяты не из ниоткуда.
FINAL	data_sources_in_app	app/src/main/res/values-tt/strings.xml	In this version	Бу версиядә	approved	dExNight	2026-08-24	Заголовок раздела с источниками, данные которых уже упакованы в приложение.
FINAL	data_sources_leipzig_summary	app/src/main/res/values-tt/strings.xml	Most of both word lists, and all of the next-word tables. CC BY 4.0.	Ике сүзлекнең күп өлеше һәм барлык тәкъдим таблицалары. CC BY 4.0.	approved	dExNight	2026-08-24	Подпись строки Leipzig Corpora Collection. Строка переписана 2026-08-24 (миссия tt-dict-accept): разговорные слова упакованы в оба словаря, и подпись, описывавшая прежнее состояние, стала неверной. Прежняя редакция от 2026-08-24 к новой не относится. Принято по правилу от 2026-08-20 — новые и изменённые строки интерфейса не требуют отдельного подтверждения.
FINAL	data_sources_tatoeba_summary	app/src/main/res/values-tt/strings.xml	Everyday words in both lists: frequencies from example sentences. CC BY 2.0 FR.	Ике сүзлектәге сөйләм сүзләре: мисал җөмләләрдән ешлык. CC BY 2.0 FR.	approved	dExNight	2026-08-24	Подпись строки Tatoeba. Строка переписана 2026-08-24 (миссия tt-dict-accept): разговорные слова упакованы в оба словаря, и подпись, описывавшая прежнее состояние, стала неверной. Прежняя редакция от 2026-08-24 к новой не относится. Принято по правилу от 2026-08-20 — новые и изменённые строки интерфейса не требуют отдельного подтверждения.
FINAL	data_sources_opensubtitles_summary	app/src/main/res/values-tt/strings.xml	Everyday words in both lists: frequencies from film subtitles.	Ике сүзлектәге сөйләм сүзләре: фильм субтитрларыннан ешлык.	approved	dExNight	2026-08-24	Подпись строки OpenSubtitles. Лицензия не названа намеренно: её у источника нет, и придумывать её в интерфейсе нельзя. Строка переписана 2026-08-24 (миссия tt-dict-accept): разговорные слова упакованы в оба словаря, и подпись, описывавшая прежнее состояние, стала неверной. Прежняя редакция от 2026-08-24 к новой не относится. Принято по правилу от 2026-08-20 — новые и изменённые строки интерфейса не требуют отдельного подтверждения.
P2-U8	incognito_mode	app/src/main/res/values-tt/strings.xml	Incognito mode	Инкогнито режимы	approved	dExNight	2026-09-23	Название тумблера режима инкогнито (U8, docs/ROADMAP-P2.md). Заимствование осознанно: устоявшегося татарского термина нет, а слово знакомо по браузерам.
P2-U8	incognito_mode_summary	app/src/main/res/values-tt/strings.xml	Pause learning new words and word pairs. What is already saved keeps appearing. Turning this off resumes learning.	Яңа сүзләрне һәм сүз парларын өйрәнүне вакытлыча туктата. Сакланганы һаман күрсәтелә. Сүндергәч, өйрәнү дәвам итә.	approved	dExNight	2026-09-23	Пояснение к тумблеру инкогнито; обе половины контракта: обучение на паузе полностью, сохранённое продолжает показываться, выключение возобновляет обучение.
P2-U8	personal_dictionary_learning_paused	app/src/main/res/values-tt/strings.xml	Learning is paused while incognito mode is on. What is already saved still appears.	Инкогнито режимы кабызылганда өйрәнү туктап тора. Сакланганы һаман күрсәтелә.	approved	dExNight	2026-09-23	Небольшая пометка наверху экрана «Сохранённые слова», пока включён инкогнито (U8).
P2-U7	personal_dictionary_words_count	app/src/main/res/values-tt/strings.xml	%1$d word(s) [plurals: one/other]	%1$d сүз [plurals: other]	approved	dExNight	2026-09-23	Счётчик сохранённых слов в шапке карточки слов одного языка; по-татарски числительное не меняет форму существительного, одна форма other.
P2-U7	personal_dictionary_pairs_count	app/src/main/res/values-tt/strings.xml	%1$d word pair(s) [plurals: one/other]	%1$d сүз пары [plurals: other]	approved	dExNight	2026-09-23	Счётчик изученных пар слов в шапке карточки пар одного языка.
P2-U7	personal_dictionary_usage_count	app/src/main/res/values-tt/strings.xml	%1$d use(s) [plurals: one/other]	%1$d куллану [plurals: other]	approved	dExNight	2026-09-23	Счётчик использований рядом с каждой строкой слова или пары; все формы несут число, чтобы аргументы переводов совпадали.
P2-U7	personal_dictionary_clear_words	app/src/main/res/values-tt/strings.xml	Clear all words	Барлык сүзләрне чистарту	approved	dExNight	2026-09-23	Действие внутри карточки слов одного языка: стереть все слова этого языка (U7).
P2-U7	personal_dictionary_clear_words_confirm	app/src/main/res/values-tt/strings.xml	Remove every saved word in %1$s? This cannot be undone.	Барлык сакланган сүзләрне (%1$s) бетерергәме? Моны кире кайтарып булмый.	approved	dExNight	2026-09-23	Тело подтверждения; %1$s — название языка (в скобках, как в русской версии). Обязано сказать «необратимо».
P2-U7	personal_dictionary_clear_pairs	app/src/main/res/values-tt/strings.xml	Clear all word pairs	Барлык сүз парларын чистарту	approved	dExNight	2026-09-23	Действие внутри карточки пар одного языка: стереть все изученные пары этого языка (U7).
